fighter_id,name,nickname,display_name,age,gender,nation,height_cm,weight_class,weight_class_max_kg,camp,style,stance,handedness,personality_tag,career_tier,mental_archetype,punch_power,punch_accuracy,kick_power,kick_accuracy,head_movement,footwork,cardio,takedown_offense,takedown_defense,submission_offense,submission_defense,clinch_striking,clinch_offense,clinch_defense,top_control,bottom_game,cage_wrestling,scramble_ability,fight_iq,adaptability,speed_explosiveness,strength,durability,flexibility,recovery_rate,chin,overall_current,potential,mental_score,personality_aggression,personality_composure,personality_risk_taking,personality_killer_instinct,personality_patience,personality_ego,personality_focus,personality_morale,personality_grit,personality_discipline,personality_ambition,personality_loyalty,personality_charisma,personality_attention_seeking,personality_coachability,personality_professionalism,personality_resilience,personality_sportsmanship,personality_travel_comfort,personality_fatigue_tolerance,suggested_wins,suggested_losses,suggested_draws,suggested_total_fights,suggested_win_pct,promotion_id,promotion_tier,backstory_depth,bio,ref_orig_overall,ref_orig_potential,ref_orig_winpct_from_bio,ref_bio_template_matched
714,Walter Williams,Mat King,"Walter Williams ""Mat King""",27,male,United States,177,Welterweight,77.1,Cobra Institute,Wrestler,southpaw,right,Methodical,Gatekeeper,Steady/Balanced,44,35,32,31,25,34,49,68,50,35,44,38,47,53,64,36,67,45,45,44,44,49,43,26,46,36,43.5,49,58.0,48,64,49,55,70,41,79,52,49,54,46,48,50,48,48,63,52,59,55,52,3,5,0,8,0.375,P2,Tier2_Mid,Standard - career arc + 1-2 highlights,"Walter Williams is the kind of Welterweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. Opponents tend to game-plan around a wrestler's knack for putting people on the mat first — suffocating top position is what usually catches them out anyway. Walter Williams isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. Professionally, Walter Williams is 3-5 through 8 fights. Fights on a well-regarded mid-tier circuit, usually across from someone trying to climb past this level.",55.6,58,0.714,(none - fallback used)
715,Jacob Diaz,The Trigger,"Jacob Diaz ""The Trigger""",31,male,United States,173,Welterweight,77.1,Coastal Gym,Striker,orthodox,right,Calm,Gatekeeper,Steady/Balanced,52,59,58,63,50,55,51,36,47,26,41,47,40,47,34,40,35,42,60,52,58,53,51,53,59,52,48.5,51,57.1,50,80,43,58,72,41,66,48,55,49,45,50,50,47,52,45,52,50,51,46,13,8,0,21,0.619,P8,Tier3_Regional,Standard - career arc + 1-2 highlights,"Jacob Diaz is the kind of Welterweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. A sharp read of opponents mid-fight is the calling card, with a scary-accurate jab not far behind. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 13-8 in 21 fights tells most of the story. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",49.5,60,0.444,roster_filler
716,Sean Roberts,All-Around Arsenal,"Sean Roberts ""All-Around Arsenal""",37,male,United States,175,Bantamweight,61.2,Ronin Athletic,Balanced,orthodox,right,Methodical,Gatekeeper,Steady/Balanced,47,40,45,39,44,37,41,48,43,48,46,45,49,38,47,48,41,48,50,55,49,43,39,35,44,40,44.2,50,56.6,52,67,48,56,75,47,79,48,49,49,55,51,46,45,53,52,48,49,50,47,14,22,0,36,0.389,P8,Tier3_Regional,Standard - career arc + 1-2 highlights,"Sean Roberts is the kind of Bantamweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. Opponents tend to game-plan around a sharp read of opponents mid-fight first — explosive first-step speed is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 14-22 across 36 professional fights. A reliable measuring-stick fight for whoever's moving up next.",48.4,48,0.417,crowd_pleaser_not_titles
717,Hunter Anderson,Plowhorse,"Hunter Anderson ""Plowhorse""",35,male,United States,176,Featherweight,65.8,Ocean Combat,Wrestler,southpaw,right,Methodical,DecliningVet,Steady/Balanced,51,50,43,50,48,47,57,91,77,46,51,48,59,64,83,44,82,65,59,51,50,51,51,47,49,48,56.2,61,56.8,49,68,41,61,72,45,73,53,49,52,52,46,45,55,50,49,52,52,53,55,19,21,0,40,0.475,P4,Tier2_Mid,Standard - career arc + 1-2 highlights,"There was a time when Hunter Anderson felt like a lock for a title run. These days the story is more about staying relevant than climbing back. Opponents tend to game-plan around suffocating top position first — a wrestler's knack for putting people on the mat is what usually catches them out anyway. Hunter Anderson isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 19-21 in 40 fights tells most of the story. Still fighting in a promotion pushing hard to be the next big thing, on what looks like the back half of a long career.",52.8,48,,turning_point_decline
718,Charles Miller,The Sharp Sniper,"Charles Miller ""The Sharp Sniper""",31,male,United States,159,Lightweight,70.3,Viper Institute,Striker,southpaw,right,Methodical,Gatekeeper,Steady/Balanced,63,64,66,66,62,62,60,41,52,42,54,63,44,53,37,46,51,49,64,58,62,60,63,48,63,57,55.8,61,56.4,47,60,50,58,79,44,77,48,52,53,48,50,46,47,47,52,52,55,48,49,19,17,0,36,0.528,P9,Tier3_Regional,Standard - career arc + 1-2 highlights,"Charles Miller won't headline a pay-per-view, but every prospect moving up the Lightweight ranks eventually has to get through a fighter like this. The gameplan usually starts with a sharp read of opponents mid-fight, backed up by a scary-accurate jab. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. Professionally, Charles Miller is 19-17 through 36 fights. A reliable measuring-stick fight for whoever's moving up next.",48.3,57,0.421,roster_filler
719,Jacqueline Nelson,Pressure,"Jacqueline Nelson ""Pressure""",19,female,United States,167,Strawweight,52.2,Valor Conditioning,Wrestler,orthodox,right,Quiet Professional,Unproven,Grinder - overperforms tools,46,53,44,35,37,45,53,64,64,51,52,47,56,49,79,47,72,55,39,49,49,50,52,48,52,46,51.3,63,60.1,47,74,40,56,74,31,75,55,48,47,52,47,48,31,54,80,47,49,53,52,1,0,0,1,1.0,P6,Tier3_Regional,Minimal - record only,"Jacqueline Nelson doesn't have the flashiest tools in the Strawweight division, but keeps finding a way to be the one with a hand raised. The gameplan usually starts with suffocating top position, backed up by a wrestler's knack for putting people on the mat. Jacqueline Nelson isn't going to out-talent anybody — the fight IQ and the mental side of the sport close that gap most nights. 1-0. A short professional résumé so far, at 1 fight. Too early to know what this career becomes.",59.6,64,0.5,straightforward_prospect_record
720,Peter Thomas,The Total Toolbox,"Peter Thomas ""The Total Toolbox""",36,male,United States,185,Welterweight,77.1,Rising Gym,Balanced,southpaw,right,Methodical,Fringe,Steady/Balanced,39,44,39,42,34,34,35,37,40,42,42,40,34,33,40,35,34,37,44,51,36,33,35,32,33,36,37.7,43,58.0,50,70,49,62,71,43,80,50,55,49,50,52,46,47,55,48,45,55,49,54,3,12,0,15,0.2,P6,Tier3_Regional,Minimal - record only,"Not every fighter is a contender. Peter Thomas is a Welterweight regular who takes the fights that are available. A scary-accurate jab is the calling card, with a sharp read of opponents mid-fight not far behind. Peter Thomas isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. The record stands at 3-12 across 15 professional fights. Fights on the regional circuit, taking whatever bouts are offered.",49.2,51,,(none - fallback used)
721,Benjamin Jimenez,Complete Arsenal,"Benjamin Jimenez ""Complete Arsenal""",37,male,United States,171,Lightweight,70.3,Steel Institute,Balanced,southpaw,right,Aggressive,DecliningVet,Steady/Balanced,49,48,39,46,43,43,49,50,48,46,43,42,51,49,48,51,41,43,59,62,38,47,46,43,40,46,46.5,56,53.2,70,39,71,65,30,52,55,48,54,55,46,51,45,52,46,66,46,64,55,49,17,26,0,43,0.395,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"There was a time when Benjamin Jimenez felt like a lock for a title run. These days the story is more about staying relevant than climbing back. Opponents tend to game-plan around the ability to change gameplans on the fly first — a sharp read of opponents mid-fight is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 17-26 across 43 professional fights. Still fighting grinding on the local scene, on what looks like the back half of a long career.",59.7,86,,fight_count_defines_veteran
722,Kenneth Carter,Grinding Grappler,"Kenneth Carter ""Grinding Grappler""",19,male,United States,160,Flyweight,56.7,Spartan Gym,Grappler,orthodox,right,Aggressive,Unproven,Steady/Balanced,36,44,34,39,37,35,44,46,48,43,41,38,55,50,49,53,47,41,47,45,47,45,44,57,55,48,44.9,52,52.1,75,43,70,66,32,53,55,55,48,52,45,46,51,54,52,51,50,51,47,49,0,1,0,1,0.0,P4,Tier2_Mid,Minimal - record only,"It's early for Kenneth Carter. In a promotion pushing hard to be the next big thing, and there isn't enough tape yet to know what this becomes. An unusually flexible frame is the calling card, with control against the fence not far behind. Kenneth Carter isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 0-1. A short professional résumé so far, at 1 fight. Too early to know what this career becomes.",54.2,58,0.333,coinflip_early_career
723,Jonathan Martinez,The Closer,"Jonathan Martinez ""The Closer""",30,male,Canada,179,Light Heavyweight,93.0,Pinnacle BJJ,Submission Specialist,orthodox,right,Showman,Gatekeeper,Fragile - fades under pressure,32,41,42,42,34,34,46,48,46,82,52,30,44,50,54,66,46,72,63,54,41,44,42,49,44,43,47.7,48,50.0,58,47,70,60,40,71,47,47,50,50,45,45,79,76,45,46,55,47,54,54,5,9,0,14,0.357,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"Jonathan Martinez shows flashes against lesser competition, but the jump in class keeps exposing the same cracks. Opponents tend to game-plan around scrambling that turns bad spots good first — a sharp read of opponents mid-fight is what usually catches them out anyway. The tools show up in flashes; the composure to use them for a full three rounds hasn't followed yet. 5-9 in 14 fights tells most of the story. A reliable measuring-stick fight for whoever's moving up next.",55.0,56,,stalled_journeyman
724,Larry Reed,Trigger,"Larry Reed ""Trigger""",34,male,United States,176,Welterweight,77.1,Mountain Training Center,Striker,southpaw,right,Showman,Gatekeeper,Steady/Balanced,58,54,59,48,54,57,44,33,35,35,40,54,34,38,34,35,30,38,56,48,50,43,47,43,38,41,44.1,47,53.4,55,55,67,79,36,73,52,50,53,49,45,49,71,78,45,49,45,46,49,46,9,13,0,22,0.409,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"Larry Reed won't headline a pay-per-view, but every prospect moving up the Welterweight ranks eventually has to get through a fighter like this. Footwork that's hard to corner is the calling card, with genuine one-punch power not far behind. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 9-13 across 22 professional fights. Fights grinding on the local scene, usually across from someone trying to climb past this level.",54.1,92,,crowd_favorite_gatekeeper
725,Mark Rodriguez,Toolbox,"Mark Rodriguez ""Toolbox""",28,male,United States,170,Bantamweight,61.2,Brutal Boxing,Balanced,orthodox,right,Methodical,Gatekeeper,Steady/Balanced,52,38,35,35,38,44,43,44,38,41,38,51,41,48,36,44,42,39,47,57,48,47,46,44,44,37,43.0,48,55.4,46,65,50,55,77,45,74,46,50,45,49,46,48,51,54,52,48,53,46,54,6,12,0,18,0.333,P9,Tier3_Regional,Standard - career arc + 1-2 highlights,"Mark Rodriguez won't headline a pay-per-view, but every prospect moving up the Bantamweight ranks eventually has to get through a fighter like this. Opponents tend to game-plan around the ability to change gameplans on the fly first — explosive first-step speed is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 6-12 across 18 professional fights. A reliable measuring-stick fight for whoever's moving up next.",54.7,66,,never_ranked_but_respected
726,Margaret Price,The Gatekeeper,"Margaret Price ""The Gatekeeper""",36,female,United States,167,Bantamweight,61.2,NextGen BJJ,Wrestler,orthodox,ambidextrous,Calm,Gatekeeper,Steady/Balanced,51,52,39,43,33,43,53,75,61,53,53,45,55,58,66,46,81,53,56,43,46,65,47,43,47,49,52.2,53,55.1,43,77,44,59,71,40,66,48,45,45,53,46,49,50,55,47,47,47,55,51,11,10,0,21,0.524,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"Margaret Price won't headline a pay-per-view, but every prospect moving up the Bantamweight ranks eventually has to get through a fighter like this. Opponents tend to game-plan around raw physical strength first — a wrestler's knack for putting people on the mat is what usually catches them out anyway. Margaret Price isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. Professionally, Margaret Price is 11-10 through 21 fights. A reliable measuring-stick fight for whoever's moving up next.",53.2,53,0.5,record_leads_no_title
727,Funke Yusuf,Weight,"Funke Yusuf ""Weight""",23,female,Nigeria,160,Flyweight,56.7,Northside Institute,Grappler,orthodox,right,Methodical,Gatekeeper,Steady/Balanced,47,45,38,49,42,38,53,62,53,54,65,44,60,50,57,75,58,56,49,53,48,42,49,55,50,53,51.7,58,56.2,54,63,48,58,76,44,79,54,49,48,49,48,45,55,53,49,51,47,49,50,3,4,0,7,0.429,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"Funke Yusuf won't headline a pay-per-view, but every prospect moving up the Flyweight ranks eventually has to get through a fighter like this. The gameplan usually starts with an active, dangerous guard, backed up by a scramble instinct that survives bad positions. Funke Yusuf isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. Professionally, Funke Yusuf is 3-4 through 7 fights. Fights grinding on the local scene, usually across from someone trying to climb past this level.",52.8,52,,never_ranked_but_respected
728,Kevin Young,The Complete Arsenal,"Kevin Young ""The Complete Arsenal""",26,male,United States,187,Light Heavyweight,93.0,Iron Training Camp,Balanced,orthodox,left,Aggressive,Gatekeeper,Steady/Balanced,42,49,44,45,44,41,50,44,51,42,55,52,49,48,48,41,50,48,52,50,54,46,38,50,44,46,47.0,52,52.4,79,44,72,67,37,51,54,50,47,55,52,52,45,47,52,45,55,49,55,45,6,8,0,14,0.429,P3,Tier2_Mid,Standard - career arc + 1-2 highlights,"Kevin Young is the kind of Light Heavyweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. Damage in the clinch is the calling card, with a sharp read of opponents mid-fight not far behind. Kevin Young isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 6-8 in 14 fights tells most of the story. Fights in a promotion pushing hard to be the next big thing, usually across from someone trying to climb past this level.",49.6,51,0.636,(none - fallback used)
729,Walter Green,The Mat King,"Walter Green ""The Mat King""",32,male,United States,187,Light Heavyweight,93.0,Desert Athletic,Wrestler,orthodox,right,Aggressive,Gatekeeper,Fragile - fades under pressure,36,35,22,27,28,41,47,71,60,32,54,43,46,45,48,44,66,49,39,38,53,65,47,30,48,36,44.2,47,49.5,78,36,71,73,31,55,53,47,46,45,48,46,51,52,46,47,50,54,53,47,8,11,0,19,0.421,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"There's a ceiling on what Walter Green can do, and it tends to show up right when a fight starts to matter. Opponents tend to game-plan around raw physical strength first — a wrestler's knack for putting people on the mat is what usually catches them out anyway. Nerves have been a recurring issue — sharp in practice, tight in the cage once the bell rings. Professionally, Walter Green is 8-11 through 19 fights. A reliable measuring-stick fight for whoever's moving up next.",55.7,61,0.44,roster_filler
730,Carl Perez,The Storm,"Carl Perez ""The Storm""",29,male,United States,181,Welterweight,77.1,Wolf Wrestling,Brawler,orthodox,right,Showman,Gatekeeper,Steady/Balanced,64,46,43,45,41,38,52,58,40,34,47,61,58,60,53,39,56,38,39,32,56,57,60,35,54,56,48.5,50,53.2,57,54,67,58,38,70,51,50,54,54,45,55,78,73,51,54,50,53,54,49,13,14,1,28,0.464,P8,Tier3_Regional,Standard - career arc + 1-2 highlights,"Carl Perez won't headline a pay-per-view, but every prospect moving up the Welterweight ranks eventually has to get through a fighter like this. A chin that's absorbed some heavy shots is the calling card, with defensive discipline in tight spaces not far behind. Carl Perez isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 13-14-1 in 28 fights tells most of the story. A reliable measuring-stick fight for whoever's moving up next.",47.5,56,,stalled_journeyman
731,Yulia Pushkin,Mat King,"Yulia Pushkin ""Mat King""",31,female,Russia,155,Strawweight,52.2,Apex Athletic,Wrestler,orthodox,left,Calm,Gatekeeper,Steady/Balanced,46,41,33,39,30,40,47,67,57,37,47,42,53,56,72,44,63,54,47,46,46,54,46,35,50,41,47.4,48,56.4,43,75,46,50,71,40,73,55,54,53,50,48,55,45,51,50,45,46,55,51,14,10,0,24,0.583,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"Yulia Pushkin won't headline a pay-per-view, but every prospect moving up the Strawweight ranks eventually has to get through a fighter like this. The gameplan usually starts with a wrestler's knack for putting people on the mat, backed up by suffocating top position. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 14-10 across 24 professional fights. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",55.7,55,0.526,roster_filler
732,Emil Lindberg,The Wild Mayhem,"Emil Lindberg ""The Wild Mayhem""",31,male,Sweden,186,Featherweight,65.8,Viper Combat,Brawler,orthodox,right,Calm,Gatekeeper,Steady/Balanced,64,50,60,49,42,45,54,46,52,33,50,62,67,64,56,44,51,52,47,42,60,70,70,47,61,51,53.4,58,57.5,47,79,42,56,72,45,73,53,51,54,52,47,45,52,49,53,45,53,53,48,9,8,0,17,0.529,P5,Tier3_Regional,Standard - career arc + 1-2 highlights,"Emil Lindberg is the kind of Featherweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. The gameplan usually starts with control against the fence, backed up by defensive discipline in tight spaces. Emil Lindberg isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. The record stands at 9-8 across 17 professional fights. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",47.3,63,0.478,roster_filler
733,Dennis Kelly,Mat King,"Dennis Kelly ""Mat King""",27,male,United States,178,Featherweight,65.8,Independent camp,Wrestler,orthodox,right,Aggressive,Gatekeeper,Steady/Balanced,46,46,41,35,33,49,54,65,67,44,62,45,52,60,67,49,64,62,45,48,60,61,48,40,52,51,51.8,53,54.4,74,42,70,90,33,54,58,52,53,55,50,54,47,55,47,45,45,50,54,45,4,6,0,10,0.4,P4,Tier2_Mid,Standard - career arc + 1-2 highlights,"Dennis Kelly won't headline a pay-per-view, but every prospect moving up the Featherweight ranks eventually has to get through a fighter like this. The gameplan usually starts with takedown defense that frustrates grapplers, backed up by a wrestler's knack for putting people on the mat. Dennis Kelly isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. The record stands at 4-6 across 10 professional fights. A reliable measuring-stick fight for whoever's moving up next.",61.9,90,,crowd_favorite_gatekeeper
734,Daniel Wright,Sharp Trigger,"Daniel Wright ""Sharp Trigger""",24,male,United States,174,Welterweight,77.1,Alpha Combat,Striker,orthodox,right,Showman,Fringe,Steady/Balanced,33,34,28,35,36,29,27,12,26,14,23,30,20,20,17,12,19,24,35,28,38,27,30,25,35,31,26.5,32,52.9,57,48,64,65,45,73,47,48,52,53,52,49,71,70,48,65,45,58,50,45,1,1,0,2,0.5,P9,Tier3_Regional,Minimal - record only,"Not every fighter is a contender. Daniel Wright is a Welterweight regular who takes the fights that are available. Opponents tend to game-plan around elusive head movement first — explosive first-step speed is what usually catches them out anyway. Daniel Wright isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 1-1. Still just 2 fights into a professional career. Fights on the regional circuit, taking whatever bouts are offered.",48.5,56,0.4,(none - fallback used)
735,Catherine Reyes,Finisher,"Catherine Reyes ""Finisher""",33,female,United States,155,Strawweight,52.2,Coastal Gym,Submission Specialist,southpaw,right,Quiet Professional,Gatekeeper,Grinder - overperforms tools,41,41,40,41,39,44,54,51,50,86,61,40,46,53,60,80,49,82,61,62,40,39,41,63,46,45,52.1,52,59.6,53,75,42,50,72,33,72,50,54,53,45,55,46,34,50,72,51,51,50,45,21,12,0,33,0.636,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"Catherine Reyes isn't the most gifted athlete on the roster, and it stopped mattering a long time ago — the record speaks for itself. The gameplan usually starts with scrambling that turns bad spots good, backed up by an active, dangerous guard. Discipline and a refusal to have a bad camp go to waste have carried Catherine Reyes further than raw ability ever would have. Professionally, Catherine Reyes is 21-12 through 33 fights. Fights on the regional circuit, usually across from someone trying to climb past this level.",51.9,45,,stalled_journeyman
736,Ethan Collins,Late Counter,"Ethan Collins ""Late Counter""",31,male,United States,174,Welterweight,77.1,Prime Institute,Counter-Striker,southpaw,left,Aggressive,Gatekeeper,Fragile - fades under pressure,49,56,52,50,75,59,47,28,41,24,36,51,40,42,32,38,31,48,73,47,60,48,45,47,54,41,46.7,48,50.4,74,40,66,66,31,51,50,47,54,51,48,46,50,54,50,45,47,54,54,47,10,15,0,25,0.4,P8,Tier3_Regional,Standard - career arc + 1-2 highlights,"There's a ceiling on what Ethan Collins can do, and it tends to show up right when a fight starts to matter. Explosive first-step speed is the calling card, with elusive head movement not far behind. The tools show up in flashes; the composure to use them for a full three rounds hasn't followed yet. Professionally, Ethan Collins is 10-15 through 25 fights. Fights on the regional circuit, usually across from someone trying to climb past this level.",52.1,60,,unspectacular_filler
737,Nicholas Young,Country Plowhorse,"Nicholas Young ""Country Plowhorse""",22,male,United States,183,Middleweight,83.9,Southside Martial Arts,Wrestler,orthodox,right,Methodical,Unproven,Steady/Balanced,36,37,27,26,36,33,42,67,57,35,39,38,46,49,62,38,54,40,38,40,45,40,48,46,57,33,42.7,57,55.8,52,68,40,57,70,42,70,53,46,49,52,49,47,54,54,49,53,54,46,50,1,1,0,2,0.5,P3,Tier2_Mid,Minimal - record only,"It's early for Nicholas Young. On a well-regarded mid-tier circuit, and there isn't enough tape yet to know what this becomes. The gameplan usually starts with a wrestler's knack for putting people on the mat, backed up by a knack for recovering between rounds. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 1-1. A short professional résumé so far, at 2 fights. Fighting on a well-regarded mid-tier circuit while the sample size builds.",56.7,59,0.333,coinflip_early_career
738,Christian Anderson,Marksman,"Christian Anderson ""Marksman""",30,male,United States,178,Middleweight,83.9,Samurai BJJ,Striker,orthodox,right,Methodical,Gatekeeper,Steady/Balanced,76,71,71,71,60,71,59,40,55,36,50,66,52,53,45,42,50,62,65,65,70,56,62,55,66,56,58.7,59,57.4,54,64,48,79,73,40,75,51,45,49,51,53,48,48,47,49,51,51,45,45,10,11,0,21,0.476,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"Christian Anderson won't headline a pay-per-view, but every prospect moving up the Middleweight ranks eventually has to get through a fighter like this. Opponents tend to game-plan around kicks that change a stance permanently first — genuine one-punch power is what usually catches them out anyway. Christian Anderson isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. The record stands at 10-11 across 21 professional fights. A reliable measuring-stick fight for whoever's moving up next.",51.5,83,,crowd_favorite_gatekeeper
739,Patrick Garcia,Blue-Collar Wrestler,"Patrick Garcia ""Blue-Collar Wrestler""",39,male,United States,181,Lightweight,70.3,Independent camp,Wrestler,orthodox,right,Showman,DecliningVet,Fragile - fades under pressure,43,40,39,33,28,31,37,71,54,42,40,37,49,50,59,33,61,52,51,50,33,51,38,26,41,43,43.5,49,51.1,63,53,60,64,37,75,49,53,48,46,47,47,75,74,55,48,46,45,45,55,15,20,0,35,0.429,P2,Tier2_Mid,Standard - career arc + 1-2 highlights,"Patrick Garcia's best nights are a few years behind now, and the losses have started arriving in a pattern that's hard to ignore. Takedown defense that frustrates grapplers is the calling card, with suffocating top position not far behind. The tools show up in flashes; the composure to use them for a full three rounds hasn't followed yet. The record stands at 15-20 across 35 professional fights. Still fighting on a well-regarded mid-tier circuit, on what looks like the back half of a long career.",57.5,65,0.417,veteran_gatekeeper
740,Otavio Sales,The Marksman,"Otavio Sales ""The Marksman""",31,male,Brazil,176,Middleweight,83.9,Independent camp,Striker,southpaw,right,Aggressive,Gatekeeper,Steady/Balanced,64,59,61,61,59,57,51,38,48,23,41,49,29,36,34,38,42,47,70,54,56,46,56,50,53,48,48.8,49,56.9,76,50,66,70,32,60,52,47,70,45,49,48,51,48,46,63,59,58,54,55,4,7,0,11,0.364,P9,Tier3_Regional,Standard - career arc + 1-2 highlights,"Otavio Sales is the kind of Middleweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. Opponents tend to game-plan around genuine one-punch power first — pinpoint kicking range is what usually catches them out anyway. Otavio Sales isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 4-7 in 11 fights tells most of the story. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",50.3,69,,promotion_needs_tester
741,Walter Hernandez,All-Around Arsenal,"Walter Hernandez ""All-Around Arsenal""",25,male,United States,181,Lightweight,70.3,Desert Athletic,Balanced,orthodox,right,Aggressive,Gatekeeper,Steady/Balanced,56,57,49,48,47,52,57,51,50,55,50,59,60,55,48,54,54,50,58,56,59,57,59,52,51,53,53.7,56,53.4,74,45,75,74,35,52,53,49,50,45,51,53,53,45,54,51,55,50,47,50,4,4,0,8,0.5,P4,Tier2_Mid,Standard - career arc + 1-2 highlights,"Walter Hernandez won't headline a pay-per-view, but every prospect moving up the Lightweight ranks eventually has to get through a fighter like this. The gameplan usually starts with a chin that's absorbed some heavy shots, backed up by damage in the clinch. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 4-4 across 8 professional fights. Fights in a promotion pushing hard to be the next big thing, usually across from someone trying to climb past this level.",55.4,59,,stalled_journeyman
742,Maxim Pushkin,Answer,"Maxim Pushkin ""Answer""",34,male,Russia,184,Middleweight,83.9,Apex Dojo,Counter-Striker,orthodox,right,Aggressive,Gatekeeper,Steady/Balanced,55,62,53,47,59,50,43,30,45,21,25,46,40,32,25,31,40,45,71,49,41,50,42,48,46,42,43.8,50,53.6,71,40,75,68,32,56,59,48,51,51,47,54,49,52,54,55,51,45,53,52,7,9,1,17,0.412,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"Maxim Pushkin won't headline a pay-per-view, but every prospect moving up the Middleweight ranks eventually has to get through a fighter like this. Genuine one-punch power is the calling card, with a sharp read of opponents mid-fight not far behind. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 7-9-1 in 17 fights tells most of the story. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",51.7,62,0.625,roster_filler
743,George Reyes,Sniper,"George Reyes ""Sniper""",28,male,United States,174,Featherweight,65.8,Ocean Studio,Striker,orthodox,right,Methodical,Gatekeeper,Grinder - overperforms tools,65,58,52,55,52,61,58,51,46,31,42,57,47,51,53,48,43,49,60,54,64,51,51,50,61,52,52.4,52,59.1,48,64,50,64,70,41,79,47,54,53,47,50,55,50,53,54,52,45,47,49,9,7,0,16,0.562,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"What George Reyes lacks in natural tools gets made up for with a work rate that's worn down more talented opponents than it should. A knack for recovering between rounds is the calling card, with footwork that's hard to corner not far behind. Discipline and a refusal to have a bad camp go to waste have carried George Reyes further than raw ability ever would have. 9-7 in 16 fights tells most of the story. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",44.0,47,,unspectacular_filler
744,Douglas Cruz,The Total All-Rounder,"Douglas Cruz ""The Total All-Rounder""",28,male,United States,189,Welterweight,77.1,Mountain Boxing,Balanced,switch,right,Methodical,Gatekeeper,Steady/Balanced,45,32,37,40,34,32,40,42,38,48,50,37,45,43,46,40,49,44,52,56,47,49,45,41,48,30,42.7,45,57.6,52,60,42,78,70,42,78,54,47,45,45,54,47,46,48,54,51,49,49,50,11,10,0,21,0.524,P5,Tier3_Regional,Standard - career arc + 1-2 highlights,"Douglas Cruz is the kind of Welterweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. The ability to change gameplans on the fly is the calling card, with a sharp read of opponents mid-fight not far behind. Douglas Cruz isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. Professionally, Douglas Cruz is 11-10 through 21 fights. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",57.0,87,,crowd_favorite_gatekeeper
